seed,method,selected,oof_accuracy,accuracy,balanced_accuracy,pred_rate
2027,spec_zfusion_spec649_log_c04_0.35,spec_zfusion_spec649_log_c04_0.35,0.6856088560885609,0.7345132743362832,0.7305555555555555,0.4218289085545723
2027,spec_zfusion_spec649_log_c08_0.08,spec_zfusion_spec649_log_c08_0.08,0.6841328413284132,0.7227138643067846,0.7201781970649894,0.44542772861356933
2027,spec_zfusion_spec649_log_c08_0.12,spec_zfusion_spec649_log_c08_0.12,0.6863468634686347,0.7168141592920354,0.7149895178197065,0.45722713864306785
2027,spec_zfusion_spec649_log_c08_0.18,spec_zfusion_spec649_log_c08_0.18,0.6863468634686347,0.7138643067846607,0.7118448637316561,0.45427728613569324
2027,spec_zfusion_spec649_log_c08_0.28,spec_zfusion_spec649_log_c08_0.28,0.6952029520295203,0.7286135693215339,0.7257337526205451,0.43952802359882004
2027,spec_zfusion_spec649_log_c08_0.35,spec_zfusion_spec649_log_c08_0.35,0.6826568265682657,0.7345132743362832,0.7305555555555555,0.4218289085545723
2027,spec_zfusion_spec649_ridge_a5_0.08,spec_zfusion_spec649_ridge_a5_0.08,0.6804428044280443,0.7256637168141593,0.7229559748427673,0.4424778761061947
2027,spec_zfusion_spec649_ridge_a5_0.12,spec_zfusion_spec649_ridge_a5_0.12,0.6826568265682657,0.7315634218289085,0.7292452830188679,0.44837758112094395
2027,spec_zfusion_spec649_ridge_a5_0.18,spec_zfusion_spec649_ridge_a5_0.18,0.6826568265682657,0.7197640117994101,0.7177672955974843,0.45427728613569324
2027,spec_zfusion_spec649_ridge_a5_0.28,spec_zfusion_spec649_ridge_a5_0.28,0.6929889298892989,0.7315634218289085,0.7292452830188679,0.44837758112094395
2027,spec_zfusion_spec649_ridge_a5_0.35,spec_zfusion_spec649_ridge_a5_0.35,0.6848708487084871,0.7227138643067846,0.7201781970649894,0.44542772861356933
2027,spec_zfusion_spec649_svc_c08_0.08,spec_zfusion_spec649_svc_c08_0.08,0.6804428044280443,0.7227138643067846,0.719811320754717,0.43952802359882004
2027,spec_zfusion_spec649_svc_c08_0.12,spec_zfusion_spec649_svc_c08_0.12,0.6856088560885609,0.7227138643067846,0.719811320754717,0.43952802359882004
2027,spec_zfusion_spec649_svc_c08_0.18,spec_zfusion_spec649_svc_c08_0.18,0.6833948339483394,0.7256637168141593,0.7222222222222222,0.4306784660766962
2027,spec_zfusion_spec649_svc_c08_0.28,spec_zfusion_spec649_svc_c08_0.28,0.6819188191881919,0.7168141592920354,0.7127882599580713,0.4218289085545723
2027,spec_zfusion_spec649_svc_c08_0.35,spec_zfusion_spec649_svc_c08_0.35,0.6767527675276753,0.7050147492625368,0.7013102725366875,0.4277286135693215
2027,stack_lda,stack_lda,0.7143911439114391,0.7433628318584071,0.7370545073375262,0.3834808259587021
2027,stack_log_c003,stack_log_c003,0.7173431734317344,0.7551622418879056,0.7514675052410902,0.4247787610619469
2027,stack_log_c01,stack_log_c01,0.7114391143911439,0.7551622418879056,0.7514675052410902,0.4247787610619469
