seed,method,selected,oof_accuracy,accuracy,balanced_accuracy,pred_rate
18695,conv_fusion_net_0.10,conv_fusion_net_0.10,0.6856088560885609,0.7227138643067846,0.7194444444444444,0.4336283185840708
18695,conv_fusion_net_0.20,conv_fusion_net_0.20,0.6907749077490775,0.7168141592920354,0.710587002096436,0.3864306784660767
18695,conv_fusion_net_0.35,conv_fusion_net_0.35,0.6981549815498155,0.6991150442477876,0.689517819706499,0.3333333333333333
18695,conv_fusion_z_et_0.10,conv_fusion_z_et_0.10,0.6745387453874538,0.7227138643067846,0.7212788259958072,0.4631268436578171
18695,conv_fusion_z_et_0.20,conv_fusion_z_et_0.20,0.6811808118081181,0.7227138643067846,0.7201781970649894,0.44542772861356933
18695,conv_fusion_z_et_0.35,conv_fusion_z_et_0.35,0.6856088560885609,0.7050147492625368,0.7013102725366875,0.4277286135693215
18695,conv_fusion_z_log_0.10,conv_fusion_z_log_0.10,0.6745387453874538,0.7256637168141593,0.7233228511530398,0.44837758112094395
18695,conv_fusion_z_log_0.20,conv_fusion_z_log_0.20,0.6767527675276753,0.7227138643067846,0.7194444444444444,0.4336283185840708
18695,conv_fusion_z_log_0.35,conv_fusion_z_log_0.35,0.6819188191881919,0.7227138643067846,0.7176100628930817,0.40412979351032446
18695,conv_fusion_z_svc_0.10,conv_fusion_z_svc_0.10,0.6752767527675276,0.7256637168141593,0.7233228511530398,0.44837758112094395
18695,conv_fusion_z_svc_0.20,conv_fusion_z_svc_0.20,0.67380073800738,0.7315634218289085,0.7274109014675052,0.41887905604719766
18695,conv_fusion_z_svc_0.35,conv_fusion_z_svc_0.35,0.6811808118081181,0.7138643067846607,0.7089098532494759,0.40707964601769914
18695,conv_fusion_zp_log_0.10,conv_fusion_zp_log_0.10,0.6745387453874538,0.7256637168141593,0.7233228511530398,0.44837758112094395
18695,conv_fusion_zp_log_0.20,conv_fusion_zp_log_0.20,0.6752767527675276,0.7227138643067846,0.7194444444444444,0.4336283185840708
18695,conv_fusion_zp_log_0.35,conv_fusion_zp_log_0.35,0.6819188191881919,0.7197640117994101,0.7144654088050315,0.40117994100294985
18695,conv_gate0.008,conv_gate0.008,0.6981549815498155,0.6991150442477876,0.689517819706499,0.3333333333333333
18695,conv_gate0.012,conv_gate0.012,0.6981549815498155,0.6991150442477876,0.689517819706499,0.3333333333333333
18695,conv_gate0.016,conv_gate0.016,0.6981549815498155,0.6991150442477876,0.689517819706499,0.3333333333333333
18695,conv_net,conv_net,0.6523985239852399,0.6519174041297935,0.6403039832285116,0.30383480825958703
